date,lolpatch,team,matchtype,gamenumber,side,victorydefeat,time,ban1,ban2,ban3,ban4,ban5,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,dragons,role,summoner,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute
2019-11-12,9.22,Grand View University,scrim,2,blue,victory,33:00:00,Kled,Zac,Nunu & Willump,Warwick,Zoe,10,1,2,2,1,Infernal Mountain,top,cired,Renekton,12,8,18,4,2,0,29.6,26.7,2.9,0,169.7,162.9,5.8,1,0,14,10.6,14.4,41.3,20.7,14,6.6,12,5,0,3,16.6,14.9,194,17,5,4,3.75,0.652173913,3.7,0.24025974,1.78313253,4.7,66,6.393939394
2019-11-12,9.22,Grand View University,scrim,2,blue,victory,33:00:00,Kled,Zac,Nunu & Willump,Warwick,Zoe,10,1,2,2,1,Infernal Mountain,jng,DreadJoker99,Karthus,16,6,17,7,2,0,47.3,0.6,44.9,1.8,235.5,9.8,218.2,7.5,0,33.7,6.1,11.6,26.2,15.3,9.7,1.3,6,1,0,1,17.4,15.6,54,149,90,23,5.5,0.717391304,7.883333333,0.383928571,2.718390805,3.2,12,6.151515152
2019-11-12,9.22,Grand View University,scrim,2,blue,victory,33:00:00,Kled,Zac,Nunu & Willump,Warwick,Zoe,10,1,2,2,1,Infernal Mountain,mid,Mesterjakel,Qiyana,9,6,7,5,2,0,20.8,18.3,1.6,0.9,141.7,125.1,14,2.6,0,17.8,6.6,2.6,21.8,13.4,5.6,2.8,16,15,0,6,14,13.7,192,8,4,0,2.666666667,0.347826087,3.466666667,0.168831169,1.485714286,0.4,-1,6.060606061
2019-11-12,9.22,Grand View University,scrim,2,blue,victory,33:00:00,Kled,Zac,Nunu & Willump,Warwick,Zoe,10,1,2,2,1,Infernal Mountain,adc,Kayzo,Kai'Sa,7,3,15,3,1,1,16.6,9.5,7,0.1,128.7,91.1,30.4,7.2,0,31,5.6,4.3,16.3,10.3,5.5,0.5,9,2,0,3,13.5,12,155,26,12,1,7.333333333,0.47826087,5.533333333,0.13474026,1.22962963,3,-22,5.484848485
2019-11-12,9.22,Grand View University,scrim,2,blue,victory,33:00:00,Kled,Zac,Nunu & Willump,Warwick,Zoe,10,1,2,2,1,Infernal Mountain,sup,Dracolords,Nautilus,2,6,21,2,1,0,8.9,1.6,7.1,0.2,23.7,8.1,10.7,4.8,0,1.6,1,2.2,17.3,8,8,1.3,24,6,0,6,8.9,7.5,30,0,0,0,3.833333333,0.5,1.483333333,0.07224026,1,1.4,-18,0.909090909
2019-11-12,9.22,Lindenwood University,scrim,2,red,defeat,33:00:00,Morgana,Xayah,Pantheon,Yasuo,Kassadin,0,0,0,3,0,Infernal Infernal Mountain,top,PoppyaOn,Camille,7,9,12,3,1,0,20.2,14.5,0.5,5.2,107.7,88.4,0.5,18.9,0,0.4,0,2.7,28.8,13,15.2,0.7,15,1,0,4,11.9,11.4,145,0,0,0,2.111111111,0.678571429,2.244444444,0.215122471,1.697478992,-4.7,-66,4.393939394
2019-11-12,9.22,Lindenwood University,scrim,2,red,defeat,33:00:00,Morgana,Xayah,Pantheon,Yasuo,Kassadin,0,0,0,3,0,Infernal Infernal Mountain,jng,MoonJuices,Jax,9,11,10,3,1,0,23.4,15.7,5.2,2.5,182.1,143,33.1,6,0,12,0,12,40.8,24.2,15.7,0.9,5,3,0,0,14.2,13.7,63,128,100,0,1.727272727,0.678571429,2.127272727,0.249201278,1.647887324,-3.2,-12,5.787878788
2019-11-12,9.22,Lindenwood University,scrim,2,red,defeat,33:00:00,Morgana,Xayah,Pantheon,Yasuo,Kassadin,0,0,0,3,0,Infernal Infernal Mountain,mid,VinaZz VI,Ryze,9,10,6,3,2,0,29.7,0.9,27.3,1.4,182.4,6.9,168.9,6.7,0,1.6,0.4,7.5,31.4,18.2,12.7,0.5,12,4,0,1,13.6,12.2,193,8,8,0,1.5,0.535714286,2.97,0.31629393,2.183823529,-0.4,1,6.090909091
2019-11-12,9.22,Lindenwood University,scrim,2,red,defeat,33:00:00,Morgana,Xayah,Pantheon,Yasuo,Kassadin,0,0,0,3,0,Infernal Infernal Mountain,adc,Puzyri,Jinx,2,6,8,2,1,0,12.1,10.5,1,0.7,132.2,111.9,1.6,18.7,543,3.5,0,2.8,16.6,9.5,6.7,0.4,12,3,0,6,10.5,10.6,191,12,5,0,1.666666667,0.357142857,2.016666667,0.12886049,1.152380952,-3,22,6.151515152
2019-11-12,9.22,Lindenwood University,scrim,2,red,defeat,33:00:00,Morgana,Xayah,Pantheon,Yasuo,Kassadin,0,0,0,3,0,Infernal Infernal Mountain,sup,Kendallizer,Leona,1,10,14,1,1,0,8.5,2,4.9,1.6,26.3,8,8.2,10.1,0,1.3,0,1.3,26.4,10.6,15.2,0.6,27,12,0,12,7.5,7.3,48,0,0,0,1.5,0.535714286,0.85,0.090521832,1.133333333,-1.4,18,1.454545455
